10
Complete question [1], time: 2.745728015899658
Complete question [152], time: 0.00011563301086425781
Complete question [153], time: 8.58306884765625e-06
Complete question [154], time: 2.738725423812866
Complete question [155], time: 8.7738037109375e-05
Complete question [156], time: 7.534027099609375e-05
Complete question [157], time: 1.364234209060669
Complete question [158], time: 1.3716280460357666
Complete question [159], time: 9.369850158691406e-05
Complete question [160], time: 1.2159347534179688e-05
Complete question [161], time: 5.7220458984375e-06
Complete question [162], time: 5.888938903808594e-05
Complete question [163], time: 8.893013000488281e-05
Complete question [164], time: 7.009506225585938e-05
Complete question [165], time: 2.735154867172241
Complete question [166], time: 0.0001316070556640625
Complete question [167], time: 2.781376838684082
Complete question [168], time: 1.5735626220703125e-05
Complete question [169], time: 4.76837158203125e-06
Complete question [170], time: 1.3711235523223877
Complete question [171], time: 2.7279508113861084
Complete question [172], time: 1.3555727005004883
Complete question [173], time: 1.2874603271484375e-05
Complete question [174], time: 7.772445678710938e-05
Complete question [175], time: 0.00012540817260742188
Complete question [176], time: 0.0001049041748046875
Complete question [177], time: 3.154519557952881
Complete question [178], time: 2.8133392333984375e-05
Complete question [179], time: 1.3667335510253906
Complete question [180], time: 2.737856864929199
Complete question [181], time: 0.00011610984802246094
Complete question [182], time: 1.3635506629943848
Complete question [183], time: 6.818771362304688e-05
Complete question [184], time: 5.030632019042969e-05
Complete question [185], time: 1.7881393432617188e-05
Complete question [186], time: 9.059906005859375e-06
Complete question [187], time: 1.5735626220703125e-05
Complete question [188], time: 1.3682386875152588
Complete question [189], time: 1.3726744651794434
Complete question [190], time: 5.555152893066406e-05
Complete question [191], time: 1.3670458793640137
Complete question [192], time: 7.486343383789062e-05
Complete question [193], time: 1.3653154373168945
Complete question [194], time: 7.843971252441406e-05
Complete question [195], time: 1.3663427829742432
Complete question [196], time: 3.6716461181640625e-05
Complete question [197], time: 4.291534423828125e-05
Complete question [198], time: 0.00011157989501953125
Complete question [199], time: 1.3654515743255615
Complete question [200], time: 1.3690907955169678
Complete question [201], time: 1.3716022968292236
Complete question [202], time: 1.3709897994995117
Complete question [203], time: 7.128715515136719e-05
Complete question [204], time: 1.0967254638671875e-05
Complete question [205], time: 2.574920654296875e-05
Complete question [206], time: 2.7373595237731934
Complete question [207], time: 2.47955322265625e-05
Complete question [208], time: 1.368638038635254
Complete question [209], time: 1.2874603271484375e-05
Complete question [210], time: 6.151199340820312e-05
Complete question [211], time: 7.557868957519531e-05
Complete question [212], time: 3.8623809814453125e-05
Complete question [213], time: 2.7321417331695557
Complete question [214], time: 1.3690698146820068
Complete question [215], time: 9.107589721679688e-05
Complete question [216], time: 6.830579996109009
Complete question [217], time: 5.1021575927734375e-05
Complete question [218], time: 1.4543533325195312e-05
Complete question [219], time: 1.4066696166992188e-05
Complete question [220], time: 3.266334533691406e-05
Complete question [221], time: 1.3658719062805176
Complete question [222], time: 2.7302587032318115
Complete question [223], time: 4.106377124786377
Complete question [224], time: 1.3656821250915527
Complete question [225], time: 1.3702316284179688
Complete question [226], time: 3.790855407714844e-05
Complete question [227], time: 0.00011849403381347656
Complete question [228], time: 1.3640992641448975
Complete question [229], time: 8.058547973632812e-05
Complete question [230], time: 1.71661376953125e-05
Complete question [231], time: 2.7249228954315186
Complete question [232], time: 0.0001838207244873047
Complete question [233], time: 3.147125244140625e-05
Complete question [234], time: 4.1961669921875e-05
Complete question [235], time: 8.106231689453125e-05
Complete question [236], time: 3.790855407714844e-05
Complete question [237], time: 7.200241088867188e-05
Complete question [238], time: 6.866455078125e-05
Complete question [239], time: 1.6689300537109375e-05
Complete question [240], time: 1.71661376953125e-05
Complete question [241], time: 3.4809112548828125e-05
Complete question [242], time: 0.00014138221740722656
Complete question [243], time: 6.0558319091796875e-05
Complete question [244], time: 0.00015354156494140625
Complete question [245], time: 1.3715929985046387
Complete question [246], time: 3.337860107421875e-05
Complete question [247], time: 0.00013685226440429688
Complete question [248], time: 2.733065128326416
Complete question [249], time: 2.735642433166504
Complete question [250], time: 3.814697265625e-05
Complete question [251], time: 5.459785461425781e-05
Complete question [252], time: 8.940696716308594e-05
Complete question [253], time: 1.049041748046875e-05
Complete question [254], time: 5.7220458984375e-06
Complete question [255], time: 3.8623809814453125e-05
Complete question [256], time: 3.7670135498046875e-05
Complete question [257], time: 1.7881393432617188e-05
Complete question [258], time: 9.298324584960938e-06
Complete question [259], time: 3.933906555175781e-05
Complete question [260], time: 3.8623809814453125e-05
Complete question [261], time: 7.581710815429688e-05
Complete question [262], time: 1.5990276336669922
Complete question [263], time: 1.364623785018921
Complete question [264], time: 1.2159347534179688e-05
Complete question [265], time: 2.8359100818634033
Complete question [266], time: 0.00016355514526367188
Complete question [267], time: 8.344650268554688e-06
Complete question [268], time: 3.8623809814453125e-05
Complete question [269], time: 4.120794057846069
Complete question [270], time: 2.744802713394165
Complete question [271], time: 1.8358230590820312e-05
Complete question [272], time: 1.0728836059570312e-05
Complete question [273], time: 1.371514081954956
Complete question [274], time: 6.937980651855469e-05
Complete question [275], time: 2.5987625122070312e-05
Complete question [276], time: 0.00019741058349609375
Complete question [277], time: 6.4849853515625e-05
Complete question [278], time: 1.3788869380950928
Complete question [279], time: 1.399345874786377
Complete question [280], time: 0.00015807151794433594
Complete question [281], time: 8.106231689453125e-06
Complete question [282], time: 1.3668644428253174
Complete question [283], time: 1.3655881881713867
Complete question [284], time: 2.6464462280273438e-05
Complete question [285], time: 1.3718292713165283
Complete question [286], time: 1.37214994430542
Complete question [287], time: 2.956390380859375e-05
Complete question [288], time: 2.7767493724823
Complete question [289], time: 1.367192268371582
Complete question [290], time: 7.009506225585938e-05
Complete question [291], time: 1.3667240142822266
Complete question [292], time: 2.734278917312622
Complete question [293], time: 1.4104695320129395
Complete question [294], time: 2.7299206256866455
Complete question [295], time: 3.4809112548828125e-05
Complete question [296], time: 1.3709218502044678
Complete question [297], time: 5.221366882324219e-05
Complete question [298], time: 1.3767447471618652
Complete question [299], time: 0.00015091896057128906
Complete question [300], time: 1.3682892322540283
Complete question [301], time: 3.933906555175781e-05
Complete question [302], time: 5.340576171875e-05
Complete question [303], time: 0.00010418891906738281
Complete question [304], time: 1.3687689304351807
Complete question [305], time: 2.7894973754882812e-05
Complete question [306], time: 1.3661198616027832
Complete question [307], time: 0.00010466575622558594
Complete question [308], time: 5.269050598144531e-05
Complete question [309], time: 4.116589307785034
Complete question [310], time: 4.00543212890625e-05
Complete question [311], time: 1.621246337890625e-05
Complete question [312], time: 1.373265266418457
Complete question [313], time: 0.0002033710479736328
Complete question [314], time: 2.288818359375e-05
Complete question [315], time: 3.528594970703125e-05
Complete question [316], time: 4.4345855712890625e-05
Complete question [317], time: 2.2649765014648438e-05
Complete question [318], time: 0.00013709068298339844
Complete question [319], time: 4.506111145019531e-05
Complete question [320], time: 1.37318754196167
Complete question [321], time: 8.845329284667969e-05
Complete question [322], time: 8.511543273925781e-05
Complete question [323], time: 1.2159347534179688e-05
Complete question [324], time: 9.059906005859375e-05
Complete question [325], time: 5.481383800506592
Complete question [326], time: 7.390975952148438e-05
Complete question [327], time: 1.6689300537109375e-05
Complete question [328], time: 1.370722770690918
Complete question [329], time: 1.3599505424499512
Complete question [330], time: 4.130931377410889
Complete question [331], time: 2.5987625122070312e-05
Complete question [332], time: 0.00013208389282226562
Complete question [333], time: 1.3639662265777588
Complete question [334], time: 1.373671531677246
Complete question [335], time: 8.320808410644531e-05
Complete question [336], time: 8.344650268554688e-06
Complete question [337], time: 3.9577484130859375e-05
Complete question [338], time: 5.030632019042969e-05
Complete question [339], time: 2.9087066650390625e-05
Complete question [340], time: 5.888938903808594e-05
Complete question [341], time: 5.936622619628906e-05
Complete question [342], time: 4.105907678604126
Complete question [343], time: 1.3639633655548096
Complete question [344], time: 2.7306981086730957
Complete question [345], time: 5.984306335449219e-05
Complete question [346], time: 1.3706092834472656
Complete question [347], time: 0.00011157989501953125
Complete question [348], time: 3.218650817871094e-05
Complete question [349], time: 2.7381672859191895
Complete question [350], time: 1.3719918727874756
Complete question [351], time: 0.00015306472778320312
Complete question [352], time: 2.7422196865081787
Complete question [353], time: 1.3664002418518066
Complete question [354], time: 2.3603439331054688e-05
Complete question [355], time: 1.3709266185760498
Complete question [356], time: 4.172325134277344e-05
Complete question [357], time: 4.410743713378906e-05
Complete question [358], time: 1.3113021850585938e-05
Complete question [359], time: 6.532669067382812e-05
Complete question [360], time: 1.365387201309204
Complete question [361], time: 1.5974044799804688e-05
Complete question [362], time: 7.414817810058594e-05
Complete question [363], time: 1.3531670570373535
Complete question [364], time: 1.3669424057006836
Complete question [365], time: 3.123283386230469e-05
Complete question [366], time: 2.7894973754882812e-05
Complete question [367], time: 5.555152893066406e-05
Complete question [368], time: 0.00016236305236816406
Complete question [369], time: 2.8133392333984375e-05
Complete question [370], time: 1.239776611328125e-05
Complete question [371], time: 1.3683390617370605
Complete question [372], time: 1.621246337890625e-05
Complete question [373], time: 1.3650200366973877
Complete question [374], time: 3.0517578125e-05
Complete question [375], time: 2.7515079975128174
Complete question [376], time: 1.3577477931976318
Complete question [377], time: 5.841255187988281e-05
Complete question [378], time: 4.863739013671875e-05
Complete question [379], time: 3.647804260253906e-05
Complete question [380], time: 7.3909759521484375e-06
Complete question [381], time: 2.6941299438476562e-05
Complete question [382], time: 1.1205673217773438e-05
Complete question [383], time: 5.9604644775390625e-06
Complete question [384], time: 2.384185791015625e-06
Complete question [385], time: 7.772445678710938e-05
Complete question [386], time: 3.62396240234375e-05
Complete question [387], time: 3.5762786865234375e-05
Complete question [388], time: 1.3701884746551514
Complete question [389], time: 3.218650817871094e-05
Complete question [390], time: 9.298324584960938e-05
Complete question [391], time: 2.1219253540039062e-05
Complete question [392], time: 4.0531158447265625e-06
Complete question [393], time: 1.3692841529846191
Complete question [394], time: 3.719329833984375e-05
Complete question [395], time: 2.3365020751953125e-05
Complete question [396], time: 1.2636184692382812e-05
Complete question [397], time: 6.413459777832031e-05
Complete question [398], time: 1.3584868907928467
Complete question [399], time: 1.380788803100586
Complete question [400], time: 2.7339141368865967
Complete question [401], time: 0.00013017654418945312
Complete question [402], time: 2.7199645042419434
Complete question [403], time: 4.696846008300781e-05
Complete question [404], time: 2.6226043701171875e-05
Complete question [405], time: 1.811981201171875e-05
Complete question [406], time: 1.3659772872924805
Complete question [407], time: 1.3669393062591553
Complete question [408], time: 1.52587890625e-05
Complete question [409], time: 7.224082946777344e-05
Complete question [410], time: 9.822845458984375e-05
Complete question [411], time: 6.628036499023438e-05
Complete question [412], time: 1.375500202178955
Complete question [413], time: 5.125999450683594e-05
Complete question [414], time: 5.412101745605469e-05
Complete question [415], time: 1.3657779693603516
Complete question [416], time: 0.00018715858459472656
Complete question [417], time: 1.3665387630462646
Complete question [418], time: 4.124641418457031e-05
Complete question [419], time: 5.984306335449219e-05
Complete question [420], time: 3.1948089599609375e-05
Complete question [421], time: 5.412101745605469e-05
Complete question [422], time: 2.7283294200897217
Complete question [423], time: 3.0517578125e-05
Complete question [424], time: 0.00010943412780761719
Complete question [425], time: 1.3744277954101562
Complete question [426], time: 2.7341456413269043
Complete question [427], time: 9.179115295410156e-05
Complete question [428], time: 6.270408630371094e-05
Complete question [429], time: 3.0279159545898438e-05
Complete question [430], time: 2.7749009132385254
Complete question [431], time: 3.218650817871094e-05
Complete question [432], time: 4.76837158203125e-06
Complete question [433], time: 7.390975952148438e-05
Complete question [434], time: 2.738672971725464
Complete question [435], time: 4.180868148803711
Complete question [436], time: 3.6716461181640625e-05
Complete question [437], time: 4.76837158203125e-05
Complete question [438], time: 1.9550323486328125e-05
Complete question [439], time: 2.7365448474884033
Complete question [440], time: 2.765655517578125e-05
Complete question [441], time: 1.3659462928771973
Complete question [442], time: 5.9604644775390625e-05
Complete question [443], time: 1.4066696166992188e-05
Complete question [444], time: 5.459785461425781e-05
Complete question [445], time: 1.3642528057098389
Complete question [446], time: 6.222724914550781e-05
Complete question [447], time: 5.0067901611328125e-06
Complete question [448], time: 1.3632128238677979
Complete question [449], time: 2.193450927734375e-05
Complete question [450], time: 2.740138530731201
Complete question [451], time: 6.365776062011719e-05
Complete question [452], time: 7.081031799316406e-05
Complete question [453], time: 1.371046781539917
Complete question [454], time: 1.6450881958007812e-05
Complete question [455], time: 4.506111145019531e-05
Complete question [456], time: 8.988380432128906e-05
Complete question [457], time: 1.2159347534179688e-05
Complete question [458], time: 1.5020370483398438e-05
Complete question [459], time: 3.814697265625e-06
Complete question [460], time: 2.86102294921875e-06
Complete question [461], time: 4.113004922866821
Complete question [462], time: 1.36391282081604
Complete question [463], time: 1.3614006042480469
Complete question [464], time: 1.3700859546661377
Complete question [465], time: 1.4543533325195312e-05
Complete question [466], time: 5.0067901611328125e-06
Complete question [467], time: 8.726119995117188e-05
Complete question [468], time: 1.366257905960083
Complete question [469], time: 1.3700923919677734
Complete question [470], time: 2.384185791015625e-05
Complete question [471], time: 3.647804260253906e-05
Complete question [472], time: 1.8835067749023438e-05
Complete question [473], time: 0.00013327598571777344
Complete question [474], time: 1.3742446899414062
Complete question [475], time: 2.2649765014648438e-05
Complete question [476], time: 9.72747802734375e-05
Complete question [477], time: 9.584426879882812e-05
Complete question [478], time: 3.7670135498046875e-05
Complete question [479], time: 1.3653247356414795
Complete question [480], time: 1.363558292388916
Complete question [481], time: 4.110254287719727
Complete question [482], time: 8.392333984375e-05
Complete question [483], time: 0.00011038780212402344
Complete question [484], time: 8.58306884765625e-06
Complete question [485], time: 1.3975417613983154
Complete question [486], time: 8.177757263183594e-05
Complete question [487], time: 0.0001342296600341797
Complete question [488], time: 6.67572021484375e-06
Complete question [489], time: 4.172325134277344e-05
Complete question [490], time: 3.0279159545898438e-05
Complete question [491], time: 8.487701416015625e-05
Complete question [492], time: 2.7354090213775635
Complete question [493], time: 2.764493465423584
Complete question [494], time: 4.3392181396484375e-05
Complete question [495], time: 6.604194641113281e-05
Complete question [496], time: 1.3681650161743164
Complete question [497], time: 2.763773202896118
Complete question [498], time: 3.886222839355469e-05
Complete question [499], time: 1.9311904907226562e-05
Complete question [500], time: 0.00013017654418945312
Complete question [501], time: 3.62396240234375e-05
Complete question [502], time: 2.79196834564209
Complete question [503], time: 1.3630716800689697
Complete question [504], time: 2.729127883911133
Complete question [505], time: 7.128715515136719e-05
Complete question [506], time: 2.732623815536499
Complete question [507], time: 1.3896210193634033
Complete question [508], time: 1.4064888954162598
Complete question [509], time: 1.3644201755523682
Complete question [510], time: 3.24249267578125e-05
Complete question [511], time: 1.3921639919281006
Complete question [512], time: 1.4433603286743164
Complete question [513], time: 1.621246337890625e-05
Complete question [514], time: 1.3719110488891602
Complete question [515], time: 0.00011968612670898438
Complete question [516], time: 2.7404932975769043
Complete question [517], time: 2.2411346435546875e-05
Complete question [518], time: 8.940696716308594e-05
Complete question [519], time: 2.5033950805664062e-05
Complete question [520], time: 1.3774042129516602
Complete question [521], time: 2.574920654296875e-05
Complete question [522], time: 1.370579719543457
Complete question [523], time: 1.3665354251861572
Complete question [524], time: 5.125999450683594e-05
Complete question [525], time: 0.00017571449279785156
Complete question [526], time: 1.3669660091400146
Complete question [527], time: 4.141595363616943
Complete question [528], time: 1.3649866580963135
Complete question [529], time: 1.7642974853515625e-05
Complete question [530], time: 4.506111145019531e-05
Complete question [531], time: 1.36702299118042
Complete question [532], time: 9.894371032714844e-05
Complete question [533], time: 1.3718008995056152
Complete question [534], time: 4.093150854110718
Complete question [535], time: 7.677078247070312e-05
Complete question [536], time: 1.049041748046875e-05
Complete question [537], time: 1.3637962341308594
Complete question [538], time: 4.5299530029296875e-06
Complete question [539], time: 1.371119499206543
Complete question [540], time: 0.00011038780212402344
Complete question [541], time: 7.62939453125e-06
Complete question [542], time: 0.00015616416931152344
Complete question [543], time: 8.296966552734375e-05
Complete question [544], time: 5.245208740234375e-05
Complete question [545], time: 8.845329284667969e-05
Complete question [546], time: 1.3744258880615234
Complete question [547], time: 1.3664195537567139
Complete question [548], time: 8.749961853027344e-05
Complete question [549], time: 4.1089959144592285
Complete question [550], time: 4.673004150390625e-05
Complete question [551], time: 1.1920928955078125e-05
Complete question [552], time: 1.3749558925628662
Complete question [553], time: 5.340576171875e-05
Complete question [554], time: 2.7473692893981934
Complete question [555], time: 7.677078247070312e-05
Complete question [556], time: 2.72607159614563
Complete question [557], time: 2.7504823207855225
Complete question [558], time: 7.867813110351562e-05
Complete question [559], time: 3.0994415283203125e-05
Complete question [560], time: 0.00012683868408203125
Complete question [561], time: 4.839897155761719e-05
Complete question [562], time: 3.170967102050781e-05
Complete question [563], time: 2.8848648071289062e-05
Complete question [564], time: 1.35589599609375
Complete question [565], time: 4.458427429199219e-05
Complete question [566], time: 6.079673767089844e-05
Complete question [567], time: 2.7302162647247314
Complete question [568], time: 3.6398723125457764
Complete question [569], time: 1.3661150932312012
Complete question [570], time: 4.076957702636719e-05
Complete question [571], time: 0.00012302398681640625
Complete question [572], time: 9.5367431640625e-06
Complete question [573], time: 3.0040740966796875e-05
Complete question [574], time: 1.6927719116210938e-05
Complete question [575], time: 5.555152893066406e-05
Complete question [576], time: 1.3668458461761475
Complete question [577], time: 0.00010848045349121094
Complete question [578], time: 7.343292236328125e-05
Complete question [579], time: 4.8160552978515625e-05
Complete question [580], time: 0.00011420249938964844
Complete question [581], time: 1.371567964553833
Complete question [582], time: 1.3624484539031982
Complete question [583], time: 6.270408630371094e-05
Complete question [584], time: 2.738485097885132
Complete question [585], time: 5.14984130859375e-05
Complete question [586], time: 1.3662083148956299
Complete question [587], time: 2.740365505218506
Complete question [588], time: 0.00021004676818847656
Complete question [589], time: 8.702278137207031e-05
Complete question [590], time: 3.838539123535156e-05
Complete question [591], time: 3.123283386230469e-05
Complete question [592], time: 3.981590270996094e-05
Complete question [593], time: 5.173683166503906e-05
Complete question [594], time: 4.6253204345703125e-05
Complete question [595], time: 2.7431273460388184
Complete question [596], time: 3.24249267578125e-05
Complete question [597], time: 2.729907989501953
Complete question [598], time: 4.553794860839844e-05
Complete question [599], time: 3.552436828613281e-05
Complete question [600], time: 2.7355129718780518
Complete question [601], time: 0.0002892017364501953
Complete question [602], time: 1.6927719116210938e-05
Complete question [603], time: 1.369150161743164
Complete question [604], time: 9.417533874511719e-05
Complete question [605], time: 6.67572021484375e-06
Complete question [606], time: 1.3655891418457031
Complete question [607], time: 9.369850158691406e-05
Complete question [608], time: 9.036064147949219e-05
Complete question [609], time: 5.9604644775390625e-06
Complete question [610], time: 8.7738037109375e-05
Complete question [611], time: 7.3909759521484375e-06
Complete question [612], time: 5.459785461425781e-05
Complete question [613], time: 1.3653721809387207
Complete question [614], time: 8.58306884765625e-05
Complete question [615], time: 3.0279159545898438e-05
Complete question [616], time: 1.37113618850708
Complete question [617], time: 7.05718994140625e-05
Complete question [618], time: 1.3719589710235596
Complete question [619], time: 0.00012612342834472656
Complete question [620], time: 1.3644914627075195
Complete question [621], time: 5.316734313964844e-05
Complete question [622], time: 5.125999450683594e-05
Complete question [623], time: 7.62939453125e-06
Complete question [624], time: 1.3649301528930664
Complete question [625], time: 1.3670549392700195
Complete question [626], time: 8.344650268554688e-06
Complete question [627], time: 1.3652429580688477
Complete question [628], time: 5.888938903808594e-05
Complete question [629], time: 6.461143493652344e-05
Complete question [630], time: 4.094743967056274
Complete question [631], time: 1.3680222034454346
Complete question [632], time: 1.3764064311981201
Complete question [633], time: 2.738408088684082
Complete question [634], time: 4.410743713378906e-05
Complete question [635], time: 1.364173412322998
Complete question [636], time: 4.094586610794067
Complete question [637], time: 2.7957091331481934
Complete question [638], time: 1.0013580322265625e-05
Complete question [639], time: 5.8650970458984375e-05
Complete question [640], time: 1.3654484748840332
Complete question [641], time: 3.337860107421875e-05
Complete question [642], time: 2.736299753189087
Complete question [643], time: 2.864838123321533
Complete question [644], time: 1.366295576095581
Complete question [645], time: 0.0001087188720703125
Complete question [646], time: 6.9141387939453125e-06
Complete question [647], time: 4.76837158203125e-06
Complete question [648], time: 1.2874603271484375e-05
Complete question [649], time: 1.3732304573059082
Complete question [650], time: 6.222724914550781e-05
Complete question [651], time: 2.193450927734375e-05
Complete question [652], time: 2.761850118637085
Complete question [653], time: 2.7510344982147217
Complete question [654], time: 4.089893341064453
Complete question [655], time: 2.47955322265625e-05
Complete question [656], time: 0.00011038780212402344
Complete question [657], time: 2.7319116592407227
Complete question [658], time: 1.358905553817749
Complete question [659], time: 7.700920104980469e-05
Complete question [660], time: 5.459785461425781e-05
Complete question [661], time: 8.392333984375e-05
Complete question [662], time: 7.843971252441406e-05
Complete question [663], time: 8.20159912109375e-05
Complete question [664], time: 4.76837158203125e-05
Complete question [665], time: 4.792213439941406e-05
Complete question [666], time: 2.384185791015625e-06
Complete question [667], time: 3.0279159545898438e-05
Complete question [668], time: 4.601478576660156e-05
Complete question [669], time: 1.3652620315551758
Complete question [670], time: 5.888938903808594e-05
Complete question [671], time: 0.0001227855682373047
Complete question [672], time: 1.362966775894165
Complete question [673], time: 1.3650012016296387
Complete question [674], time: 1.6689300537109375e-05
Complete question [675], time: 1.363088846206665
Complete question [676], time: 1.3651940822601318
Complete question [677], time: 1.367349624633789
Complete question [678], time: 8.535385131835938e-05
Complete question [679], time: 0.0001995563507080078
Complete question [680], time: 1.3735954761505127
Complete question [681], time: 6.318092346191406e-05
Complete question [682], time: 0.0001201629638671875
Complete question [683], time: 4.363059997558594e-05
Complete question [684], time: 6.0558319091796875e-05
Complete question [685], time: 1.3656158447265625
Complete question [686], time: 1.1920928955078125e-05
Complete question [687], time: 1.361466646194458
Complete question [688], time: 4.9114227294921875e-05
Complete question [689], time: 3.0994415283203125e-05
Complete question [690], time: 5.173683166503906e-05
Complete question [691], time: 3.528594970703125e-05
Complete question [692], time: 1.371279239654541
Complete question [693], time: 2.719315528869629
